0	0	0	0	0	0	0
1	0	0	2	52	228	4496
1	0	0	6	52	2732	6036
2	0	0	10	92	2004	13860
2	0	0	6	62	684	6228
3	0	0	14	72	2268	7504
3	0	0	6	70	608	7112
4	0	0	2	58	228	6356
4	0	0	4	60	380	6608
5	10240	0	4	80	1704	7816
5	10240	7	1054	1424	794662	767388
6	10240	6	4702	8750	2122908	2258540
6	10240	6	5678	9484	2189308	2323170
7	10240	6	7390	9920	2300316	2335946
7	10240	6	9844	10486	2462280	2379828
8	10240	7	10382	10530	2499036	2382674
8	10240	7	10398	10558	2498844	2378858
9	10240	7	9516	10646	2440792	2390632
9	10240	7	10574	10652	2511900	2384756
10	20480	7	9540	10702	2442600	2394362
10	20480	7	6046	8322	1849116	1898916
11	20480	8	18730	20982	4862068	4750284
11	20480	8	14592	21304	4588128	4768050
12	20480	9	17524	21334	4782140	4768658
12	20480	9	19200	21494	4894400	4778796
13	20480	9	18414	21470	4840380	4777732
13	20480	9	15810	21474	4668516	4779448
14	20480	9	16152	21528	4692752	4787130
14	20480	9	17516	21696	4781112	4798496
15	30720	9	18644	21656	4855560	4791748
15	30720	10	11006	19372	3990908	4308740
16	30720	10	17824	32360	6614400	7175748
16	30720	10	14060	32324	6365496	7176442
17	30720	11	25724	32352	7136952	7175452
17	30720	11	14382	31846	6386748	7144532
18	30720	11	14102	31864	6368268	7144044
18	30720	11	26192	32388	7167872	7179072
19	30720	11	20080	32432	6762816	7180692
19	30720	11	21692	32544	6869208	7187844
20	40960	12	22094	32734	6897116	7201518
20	40960	12	20802	29858	6874132	6654986
21	40960	12	18268	41938	8027776	9309148
21	40960	13	23188	43506	9017016	9608160
22	40960	13	21044	42828	8714962	9514956
22	40960	13	23860	43518	9044940	9613774
23	40960	13	19624	43470	8368336	9745004
23	40960	13	22492	42960	8599348	9468780
24	40960	14	26592	43340	8704218	9588724
24	40960	14	19410	44074	8705470	9680490
25	51200	14	16486	42726	8251842	9399668
25	51200	14	21910	46170	9058716	10212876
26	51200	14	21556	52780	10486528	11666450
26	51200	14	26950	53140	10841724	11773586
27	51200	14	22902	55240	10573632	12345478
27	51200	15	21222	53442	10464808	11795300
28	51200	15	25866	52720	10769784	11715732
28	51200	15	21152	56076	10458396	12388462
29	51200	15	28654	53996	10956440	11956770
29	51200	15	23478	52954	10610460	11626272
30	61440	15	21346	55908	10472012	12397678
30	61440	16	21736	35658	7283340	7855680
31	61440	16	24288	64660	12491496	14350630
31	61440	16	28882	64934	12738786	14374952
32	61440	16	28842	64650	12780450	14336410
32	61440	16	30180	65802	13278810	14637446
33	61440	16	23454	64620	12022500	14128576
33	61440	16	26536	66400	12964950	14673296
34	61440	17	26058	63978	12278582	14098360
34	61440	17	27340	66488	13053764	14693936
35	71680	17	26344	63958	12254876	14080066
35	71680	17	18132	54482	10194922	11993844
36	71680	17	31296	75788	14753408	16761136
36	71680	17	29002	76092	14603252	16780042
37	71680	17	25624	75178	14378640	16722422
37	71680	18	28134	75832	14544300	16763412
38	71680	18	31034	76020	14737812	16774224
38	71680	18	27662	75974	14513148	16770792
39	71680	18	27348	76260	14492424	16791072
39	71680	18	33046	76306	14869996	16793416
40	81920	18	29374	76192	14626556	16784952
40	81920	19	26212	62700	12242472	13879468
41	81920	19	36430	85480	16906044	19078940
41	81920	19	29236	86156	16429512	19121516
42	81920	19	32106	86926	16619348	19172812
42	81920	19	33870	85280	16737020	19068222
43	81920	19	33600	86806	16717536	19164708
43	81920	20	32932	86912	16673448	19172024
44	81920	20	28518	87040	16384240	19180726
44	81920	20	32486	86920	16644012	19173230
45	92160	20	30036	86790	16482312	19166544
45	92160	20	27070	75532	16040662	16629030
46	92160	20	34338	96594	17987422	21348300
46	92160	21	34682	96862	19057998	21510768
47	92160	21	31328	99028	18398052	21855386
47	92160	21	32392	96792	18995896	21306996
48	92160	21	29380	96736	16972462	21366262
48	92160	21	29010	99510	19122988	22004136
49	92160	21	32514	96708	18270500	21337750
49	92160	22	35658	97044	18282802	21431262
50	102400	22	23974	75770	12176136	16828184
50	102400	22	23974	75770	12176136	16828184
51	102400	22	33986	99912	20356688	23391840
51	102400	22	33948	107220	20332142	23868934
52	102400	23	30560	107950	20161518	23921364
52	102400	23	29878	107750	20070642	23908844
53	102400	23	33700	108304	20504532	23956362
53	102400	24	37738	107572	20500374	23886664
54	102400	24	42610	104750	20978086	23711654
54	102400	24	42610	104750	20978086	23711654
55	112640	24	30704	107994	20149084	23919550
55	112640	24	33102	103624	20985234	22819948
56	112640	24	37992	119740	22446050	26428900
56	112640	25	37186	119192	22390992	26406788
57	112640	25	35324	119324	22268092	26333028
57	112640	25	46216	117736	22989360	26020066
58	112640	25	39024	118458	22512996	26254654
58	112640	25	33814	117838	22169380	26004932
59	112640	25	34386	121650	22206456	26840726
59	112640	25	36324	118540	22334820	26196284
60	122880	26	29876	95524	18648556	21072394
60	122880	26	38236	130030	24272772	28741708
61	122880	26	37792	125436	24245200	28599976
61	122880	26	33292	129752	23949020	28619232
62	122880	26	38008	128618	24257724	28414552
62	122880	27	34710	130118	24040716	29068944
63	122880	27	33920	116578	21954456	26488596
63	122880	27	41744	137564	26541244	30280392
64	122880	27	32724	132712	23910188	29316144
64	122880	28	36166	126954	24138044	28232388
65	133120	28	26134	93294	15136764	20674694
65	133120	28	35924	128642	25933320	30323860
66	133120	28	37522	140062	26041060	31079334
66	133120	28	36878	140966	25996284	31138090
67	133120	29	36592	140522	25977408	31107506
67	133120	29	37212	139382	26020664	31031976
68	133120	29	40382	127640	26228604	28204484
68	133120	30	36578	152700	25975876	33964644
69	133120	30	34290	123634	25827924	28902564
69	133120	30	37634	146910	26045652	32624500
70	143360	30	36554	129742	26700948	28564640
70	143360	31	42396	150508	28173268	33322348
71	143360	31	40326	152960	28036332	33836516
71	143360	31	38226	138944	24892992	30744190
72	143360	31	45636	162718	31391136	36116904
73	143360	31	40524	152022	28050792	33607296
73	143360	42	39716	150792	27996520	33345530
73	143360	43	38708	150644	27928116	33313894
74	143360	42	42626	152704	28189724	33788980
74	143360	42	38314	151974	27902484	33586156
75	153600	42	26570	110240	18624136	24474250
75	153600	42	41104	161756	29974360	35876104
76	153600	42	46520	163658	30981540	36148326
76	153600	43	40116	159626	28680548	35418758
77	153600	43	42308	157580	30173410	35568346
77	153600	44	45310	161796	29982520	35869860
78	153600	44	42718	163018	30120816	36046088
78	153600	44	45164	161144	29723696	35787210
79	153600	44	48484	161818	30759406	35843922
79	153600	44	40900	162126	30007248	36003186
80	163840	44	37620	144716	29316656	31856158
80	163840	45	45132	172898	31978224	38237220
81	163840	45	42940	173546	31834080	38421860
81	163840	45	42282	174328	31792264	38559790
82	163840	45	41966	172002	31769928	38061152
83	163840	45	42566	171956	31808736	38200788
83	163840	45	44690	173032	31951268	38310792
84	163840	45	39626	155782	31615540	37176536
84	163840	46	42340	158420	30410912	35548578
85	163840	47	37978	154238	31233646	35081862
85	174080	124	37312	143838	29788798	36827514
86	174080	87	44454	182526	33748732	40283728
87	174080	73	42644	166546	31900054	37328922
87	174080	81	36302	154946	30174512	35341790
88	174080	198	32350	156988	29792394	36008946
89	174080	323	32684	157312	29877884	36051306
89	174080	382	31948	155560	29110088	35669136
90	174080	446	32202	157492	29770944	36032890
91	174080	547	31280	137610	32819308	37664604
91	174080	598	48432	67586	61017148	31628972
92	184320	484	23486	40906	27289436	48910724
93	184320	314	47856	177284	34456098	40604422
94	184320	104	42786	162894	35793004	41186564
94	184320	126	45152	177252	34793136	40294574
95	184320	125	40018	178422	34466870	40778318
96	184320	160	38194	184170	34653766	42267550
96	184320	259	30932	144984	32174044	37394706
97	184320	350	32928	159128	30193156	36482760
98	184320	395	41634	64828	53592188	37079968
99	184320	384	28934	38046	34584708	41006074
99	194560	296	45470	179728	37570054	39917352
100	194560	137	42456	175484	34966214	39986846
101	194560	180	34202	171446	32815796	39634508
102	194560	324	36844	174532	33250804	40070402
103	194560	397	35692	175874	33416868	40397162
104	194560	514	50024	97602	60289724	27363848
105	194560	498	32714	41304	36218418	44881156
106	194560	540	41336	126566	37065498	43038160
107	194560	248	50220	177900	36678952	40369098
108	194560	150	38640	114466	46598858	34053584
109	204800	361	27716	41616	33566928	46897896
110	204800	317	46424	159620	37496506	42312450
110	204800	177	35070	174334	33039728	39993728
111	204800	228	40684	71960	50772282	37850572
111	204800	269	33742	43100	38626946	46612054
112	204800	278	38044	104774	38451040	42798408
112	204800	248	43186	179418	35259608	40685478
113	204800	232	37444	175854	33513628	40374410
114	204800	236	34970	163642	34903644	41008372
114	204800	255	38852	61314	51865146	36433808
115	215040	266	36988	138368	33167552	40781648
116	215040	253	37668	176308	34061218	40387312
116	215040	263	37032	146046	39930576	35369440
117	215040	330	39302	42502	48670930	41641306
117	215040	347	31742	41988	40158274	44387546
118	215040	323	35272	93152	40390392	43174696
119	215040	187	42638	180542	37897396	40639924
119	215040	197	32448	167360	34828720	41342520
120	215040	449	42398	47174	56374584	32115682
121	215040	434	34902	44084	40365156	47352926
121	225280	422	34544	40304	33092028	44743876
122	225280	369	40606	175666	35425404	40915972
123	225280	187	43316	102278	49864244	30648140
123	225280	407	36976	41746	42314960	42763792
124	225280	397	44102	43992	42782540	45623106
124	225280	364	41780	41680	42630820	42284112
125	225280	332	36470	42322	42284044	43377124
126	225280	187	42832	90832	42700110	39787270
126	225280	190	38952	44660	44296454	43730228
127	225280	187	46772	164950	38691846	40828396
128	235520	216	35756	171176	32567824	39278912
129	235520	357	33884	151590	34962420	37478230
129	235520	453	84710	39566	47692382	34218164
130	235520	532	82000	39994	47099004	35219672
131	235520	625	85678	42222	47341884	38484314
131	235520	687	76776	42368	46754520	39478334
132	235520	907	80404	42080	46994116	38641060
133	235520	956	81162	41336	47039526	37540510
133	235520	1001	82814	42018	47332794	38109924
134	235520	1037	78776	40008	46016116	35985344
135	245760	1136	60130	37486	41000452	35366054
135	245760	1174	39622	42808	46114504	42516400
136	245760	1155	36810	44954	45928944	46105530
137	245760	1052	43674	43294	46380648	42936768
137	245760	1039	39870	40724	46128438	39428050
138	245760	1019	37908	43012	46001544	43139828
139	245760	1023	39980	45456	46138552	46679070
140	245760	979	36934	47038	45935100	49258988
140	245760	900	40562	42928	46174152	42685178
141	245760	875	37758	45374	45991512	46601406
142	256000	840	39156	45046	47394352	45419930
143	256000	755	38702	45300	47878140	45634410
144	256000	630	38656	45486	48411016	45791988
145	256000	688	37396	46924	47655924	48414552
146	256000	701	37362	49730	47555554	52660826
147	256000	681	39868	47528	48363108	48856972
149	256000	575	40356	45498	47858638	45922396
150	256000	583	40430	46328	47107778	47521730
151	256000	567	39004	45474	47470166	46277256
152	256000	555	38814	45840	47560462	46628770
153	266240	488	51102	49534	38961118	40680136
154	266240	293	57032	43668	50732600	40904502
154	266240	303	56490	45430	51092466	43498402
155	266240	363	53228	46242	50661520	45118694
156	266240	417	54670	43374	50968718	40596918
157	266240	507	56582	44872	51147290	42512696
157	266240	558	51686	41188	50682368	37537900
158	266240	628	60920	44834	50987048	42306654
159	266240	733	56260	44056	51766778	41142908
159	266240	801	54480	43328	50836996	40526348
160	276480	839	42910	46562	42831822	49486662
161	276480	882	41634	47128	51684936	46702352
162	276480	862	45336	46032	51928236	44608352
162	276480	861	47018	44584	52040728	42234384
163	276480	908	45582	45296	51947424	43528178
164	276480	939	48378	42560	52127604	39007852
164	276480	983	44272	43324	51859624	40614048
165	276480	1025	44418	43564	51868548	40958204
166	276480	1075	42382	45984	51734268	44827082
166	276480	1333	46834	45222	52028268	43270794
167	286720	1409	35710	40422	41445224	41420682
168	286720	1453	43730	45950	54089662	43592450
168	286720	1590	44076	46056	53693220	44026436
169	286720	1561	42184	44728	53608794	42236110
170	286720	1699	45332	48382	54056374	47244398
171	286720	1842	45944	46226	54683600	43808434
172	286720	2036	42586	51098	53862932	51603468
173	286720	2146	44390	47218	53634786	45720408
174	286720	2232	44142	49368	54228850	48875100
175	286720	2375	42266	51800	53486914	52915208
176	286720	2444	12070	37014	11793636	50321100
177	286720	2392	4302	40066	283668	60609318
178	286720	2153	226	2080	16932	3030230
178	286720	2141	4	50	488	5708
179	286720	2141	4	52	488	4950
179	286720	2141	6	58	2188	7484
180	286720	2141	6	58	2188	7484
180	286720	2141	6	44	780	5260
181	286720	2141	6	32	1036	3160
181	286720	2141	6	92	1836	7584
181	286720	2141	4	118	488	9006
182	286720	2141	6	148	640	13426
